"table__cell 2","icon-elbow"
"5.960 €/m2",""
"6.334 €/m2","Arganzuela"
"4.901 €/m2","Barajas"
"3.718 €/m2","Carabanchel"
"7.566 €/m2","Centro"
"8.187 €/m2","Chamartín"
"8.992 €/m2","Chamberí"
"5.096 €/m2","Ciudad Lineal"
"5.423 €/m2","Fuencarral"
"5.411 €/m2","Hortaleza"
"3.916 €/m2","Latina"
"6.376 €/m2","Moncloa"
"4.533 €/m2","Moratalaz"
"3.325 €/m2","Puente de Vallecas"
"7.758 €/m2","Retiro"
"10.189 €/m2","Salamanca"
"4.051 €/m2","San Blas"
"6.034 €/m2","Tetuán"
"3.609 €/m2","Usera"
"3.903 €/m2","Vicálvaro"
"3.717 €/m2","Villa de Vallecas"
"3.002 €/m2","Villaverde"
